steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.024,1,0.024,0.19999999999999996
2,2,0.024,1,0.0,1.2
3,3,0.027,1,0.003,2.1
4,4,0.036000000000000004,1,0.009000000000000001,2.8
5,5,0.042,1,0.006,3.5999999999999996
6,6,0.07200000000000001,1,0.03,3.5999999999999996
7,7,0.084,1,0.012,4.199999999999999
8,8,0.099,1,0.015,4.699999999999999
9,9,0.12000000000000001,1,0.021,4.999999999999999
10,10,0.14700000000000002,1,0.027,5.099999999999999
12,12,0.17700000000000005,1,0.018000000000000002,6.099999999999998
14,14,0.22800000000000004,1,0.027,6.399999999999998
17,17,0.24000000000000005,1,0.009000000000000001,8.999999999999996
20,20,0.28500000000000003,1,0.03,10.499999999999996
25,25,0.3780000000000001,1,0.018000000000000002,12.399999999999997
30,30,0.41700000000000015,1,0.009000000000000001,16.099999999999998
40,40,0.5400000000000003,1,0.015,21.999999999999996
50,50,0.6840000000000004,1,0.006,27.199999999999996
60,60,0.7980000000000005,1,0.024,33.39999999999999
70,70,0.9510000000000006,1,0.009000000000000001,38.3
80,80,1.0650000000000004,1,0.0,44.5
90,90,1.218,1,0.0,49.4
100,100,1.3439999999999996,1,0.0,55.2
120,120,1.5689999999999986,1,0.021,67.69999999999996
140,140,2.021999999999998,1,0.015,72.59999999999994
170,170,2.6759999999999953,1,0.012,80.79999999999994
200,200,3.3389999999999946,1,0.03,88.69999999999992
250,250,4.391999999999994,1,0.024,103.59999999999987
300,300,5.351999999999996,1,0.024,121.59999999999985
400,400,7.2959999999999985,1,0.021,156.7999999999997
500,500,9.296999999999993,1,0.015,190.09999999999962
600,600,11.300999999999982,1,0.018000000000000002,223.29999999999956
700,700,13.376999999999967,1,0.018000000000000002,254.09999999999943
800,800,15.48899999999995,1,0.012,283.69999999999953
900,900,17.604000000000006,1,0.009000000000000001,313.19999999999976
1000,1000,19.77600000000009,1,0.009000000000000001,340.79999999999995
1200,1200,24.123000000000253,1,0.03,395.90000000000055
1400,1400,28.50900000000042,1,0.018000000000000002,449.7000000000011
1700,1700,35.30100000000068,1,0.018000000000000002,523.3000000000021
2000,2000,42.19800000000094,1,0.03,593.4000000000037
2500,2500,53.88600000000138,1,0.027,703.8000000000063
3000,3000,65.83800000000183,1,0.03,805.4000000000091
4000,4000,88.61700000000269,1,0.027,1046.1000000000113
5000,5000,115.2810000000037,1,0.03,1157.2999999999988
6000,6000,137.06100000000205,1,0.021,1431.2999999999877
7000,7000,161.49299999999886,1,0.006,1616.8999999999758
8000,8000,188.18999999999608,1,0.027,1726.9999999999613
9000,9000,213.7169999999932,1,0.03,1876.0999999999522
10000,10000,241.7759999999907,1,0.03,1940.7999999999358
