steps,episode,total_return,episode_len,episode_return,total_regret
1,1,1.0,1,1.0,0.0
2,2,1.1,1,0.1,0.9
3,3,1.1,1,0.0,1.9
4,4,1.6,1,0.5,2.4
5,5,2.3000000000000003,1,0.7000000000000001,2.6999999999999997
6,6,3.2,1,0.9,2.8
7,7,3.4000000000000004,1,0.2,3.5999999999999996
8,8,4.0,1,0.6000000000000001,3.9999999999999996
9,9,4.3,1,0.30000000000000004,4.699999999999999
10,10,5.1,1,0.8,4.8999999999999995
12,12,5.7,1,0.4,6.299999999999999
14,14,7.5,1,0.8,6.499999999999999
17,17,8.1,1,0.5,8.899999999999999
20,20,10.2,1,0.9,9.799999999999999
25,25,12.5,1,0.4,12.499999999999998
30,30,14.1,1,0.5,15.899999999999999
40,40,19.200000000000003,1,0.6000000000000001,20.799999999999997
50,50,24.6,1,0.7000000000000001,25.4
60,60,29.100000000000005,1,1.0,30.899999999999995
70,70,34.0,1,0.5,35.99999999999999
80,80,39.20000000000001,1,0.1,40.79999999999998
90,90,44.50000000000001,1,0.1,45.499999999999986
100,100,49.30000000000001,1,0.1,50.69999999999998
120,120,62.50000000000001,1,0.6000000000000001,57.499999999999986
140,140,76.40000000000002,1,0.6000000000000001,63.6
170,170,95.60000000000004,1,0.5,74.39999999999998
200,200,114.50000000000006,1,0.30000000000000004,85.49999999999996
250,250,147.4000000000001,1,1.0,102.59999999999995
300,300,179.0000000000001,1,0.8,120.99999999999993
400,400,244.2000000000002,1,0.7000000000000001,155.79999999999987
500,500,310.7000000000001,1,0.6000000000000001,189.29999999999978
600,600,377.0999999999999,1,0.6000000000000001,222.89999999999966
700,700,446.1999999999997,1,0.6000000000000001,253.79999999999956
800,800,516.2999999999994,1,0.4,283.6999999999998
900,900,587.199999999999,1,0.30000000000000004,312.8
1000,1000,659.6999999999986,1,0.30000000000000004,340.30000000000024
1200,1200,803.6999999999978,1,1.0,396.30000000000075
1400,1400,950.0999999999971,1,0.6000000000000001,449.9000000000012
1700,1700,1176.6999999999987,1,1.0,523.3000000000022
2000,2000,1406.800000000002,1,0.9,593.2000000000037
2500,2500,1796.3000000000081,1,1.0,703.7000000000064
3000,3000,2198.200000000016,1,0.8,801.8000000000092
4000,4000,3023.4000000000397,1,1.0,976.600000000015
5000,5000,3873.1000000000645,1,0.7000000000000001,1126.9000000000074
6000,6000,4727.900000000028,1,1.0,1272.0999999999938
7000,7000,5593.599999999976,1,0.9,1406.3999999999808
8000,8000,6457.499999999928,1,1.0,1542.4999999999688
9000,9000,7336.799999999869,1,0.9,1663.1999999999541
10000,10000,8226.899999999827,1,0.0,1773.0999999999433
